"ship_method_id","carrier","method","short_method","6","48","52","54","57","58","59","60","62","63","64","65","68","69","70","37","72","73","74","75","76","78","79"
"30","USPS","First-Class Package Service",,"USPS First Class: 2-6 weeks","FCPS","FCPS",NULL,"USPS_1ST","First-Class Mail (Parcel)","USPS_1ST","USPS_1ST","USPS_1ST","USPS_1ST","USPS_1ST","1C","USPS_1ST",NULL,"USPS_1ST","USPS_1ST",NULL,"USPS_1ST","USPS_1ST","USPS_1ST",NULL,NULL,
"31","USPS","First-Class Package Intl Service",,"USPS First Class: 2-6 weeks","FCPI","FCPI",NULL,"USPS_1ST_ITL",NULL,"USPS_1ST_ITL","USPS_1ST_ITL","USPS_1ST_ITL","USPS_1ST_ITL","USPS_1ST_ITL",NULL,"USPS_1ST_ITL",NULL,"USPS_1ST_ITL","USPS_1ST_ITL",NULL,NULL,"USPS_1ST_ITL",NULL,NULL,NULL,
"32","USPS","First-Class Mail",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"33","USPS","First-Class Mail International",,"1st Class International","FCMI","FCMI",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"IFC",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"34","USPS-CH","Priority Cubic 1",,NULL,NULL,NULL,NULL,NULL,"MX_USPS_FIRST_CLASS_PARCEL",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"pr",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"40","UPS-GND","GND",,NULL,"GND","GND","MX_GROUND","UPS_GND","MX_GROUND","UPS_GND","UPS_GND","UPS_GND","UPS_GND",,"GR","UPS_GND",NULL,"UPS_GND","UPS_GND",NULL,"UPS_GND","UPS_GND","UPS_Ground",NULL,,"Standard"
"41","UPS","2 Day Air A.M.",,NULL,NULL,NULL,NULL,"UPS_2DA_AM",NULL,"UPS_2DA_AM","UPS_2DA_AM","UPS_2DA_AM","UPS_2DA_AM","UPS_2DA_AM",NULL,"UPS_2DA_AM",NULL,"UPS_2DA_AM","UPS_2DA_AM
",,"
UPS_2DA_AM","UPS_2DA_AM",NULL,NULL,NULL,
"42","UPS-2D","2nd Day Air",,"UPS 2nd Day","SDA","SDA","MX_2DAY","UPS_2DA","MX_2DAY","UPS_2DA","UPS_2DA","UPS_2DA","UPS_2DA",,"2D","UPS_2DA",NULL,"UPS_2DA","UPS_2DA
",NULL,"UPS_2DA","UPS_2DA","UPS_2nd Day Air",NULL,NULL,
"43","UPS-NDA","Next Day Air Saver",,NULL,"NDAS","NDAS","MX_OVERNIGHT_SAVER","UPS_NDA_SAVER","MX_OVERNIGHT_SAVER","UPS_NDA_SAVER","UPS_NDA_SAVER","UPS_NDA_SAVER","UPS_NDA_SAVER",,NULL,"UPS_NDA_SAVER",NULL,"UPS_NDA_SAVER","UPS_NDA_SAVER
",NULL,"UPS_NDA_SAVER","UPS_NDA_SAVER","UPS_Next Day Air Saver",NULL,NULL,
"44","UPS-NDA","Next Day Air Saturday",,NULL,NULL,NULL,,"UPS_NDA_SAT",NULL,"UPS_NDA_SAT","UPS_NDA_SAT","UPS_NDA_SAT","UPS_NDA_SAT","UPS_NDA_SAT",NULL,"UPS_NDA_SAT",NULL,"UPS_NDA_SAT","UPS_NDA_SAT
",NULL,NULL,"UPS_NDA_SAT",NULL,NULL,NULL,
"45","UPS-WW","Worldwide Express Saver",,NULL,"UPS_WE_SAVER","UPS_WE_SAVER",NULL,"UPS_WE_SAVER",NULL,"UPS_WE_SAVER","UPS_WE_SAVER","UPS_WE_SAVER","UPS_WE_SAVER","International",NULL,"UPS_WE_SAVER",NULL,"UPS_WE_SAVER","UPS_WE_SAVER
",NULL,NULL,"UPS_WE_SAVER",NULL,NULL,NULL,
"46","UPS-WW","Worldwide Express",,NULL,"UPS_WW_EX","UPS_WW_EX",NULL,"UPS_WW_EX","MX_INT_EXPRESS","UPS_WW_EX","UPS_WW_EX","UPS_WW_EX","UPS_WW_EX","UPS_WW_EX","I","UPS_WW_EX",NULL,"UPS_WW_EX","UPS_WW_EX",NULL,NULL,"UPS_WW_EX","UPS_World_Express",NULL,NULL,
"47","UPS-WW","Worldwide Saver",,NULL,"UPS_WW_SAVER","UPS_WW_SAVER","MX_UPS_WORLDWIDE_SAVER","UPS_WE_SAVER",NULL,"UPS_WE_SAVER","UPS_WE_SAVER","UPS_WE_SAVER","UPS_WE_SAVER","UPS_WE_SAVER",NULL,"UPS_WE_SAVER",NULL,"UPS_WE_SAVER","UPS_WW_SAVER",NULL,NULL,"UPS_WW_SAVER","UPS_Saver",NULL,NULL,
"48","UPS-WW","Worldwide Expedited",,NULL,"UPS_WW_EXPD","UPS_WW_EXPD",NULL,"UPS_WW_EXPD","MX_INT_EXPEDITED","UPS_WW_EXPD","UPS_WW_EXPD","UPS_WW_EXPD","UPS_WW_EXPD","UPS_WW_EXPD",NULL,"UPS_WW_EXPD",NULL,"UPS_WW_EXPD","UPS_WW_EXPD",NULL,NULL,"UPS_WW_EXPD","UPS_World_Expedited",NULL,NULL,
"49","UPS-NDA","Next Day Air",,"UPS Next Day","NDA","NDA","MX_OVERNIGHT","UPS_NDA","MX_OVERNIGHT","UPS_NDA","UPS_NDA","UPS_NDA","UPS_NDA",,"1D","UPS_NDA",NULL,"UPS_NDA","UPS_NDA",,NULL,"UPS_NDA","UPS_Next Day Air",NULL,NULL,
"50","UPS-3D","3 Day Select",,NULL,"TDS","TDS",NULL,"UPS_3DS",NULL,"UPS_3DS","UPS_3DS","UPS_3DS","UPS_3DS","UPS_3DS",NULL,"UPS_3DS",NULL,"UPS_3DS","UPS_3DS
",NULL,NULL,"UPS_3DS
","UPS_3 Day Select",NULL,NULL,
"55","MID-MX","MID-P",,NULL,NULL,NULL,NULL,NULL,"MX_MI",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"56","UPS-ST","ST",,NULL,"STD","STD",,NULL,,NULL,NULL,NULL,NULL,"STD","IP","UPS_STD","UPS_ST","UPS_STD","UPS_STD",NULL,NULL,"UPS_STD","Standard",NULL,NULL,
"57","MIP-MX","MIP",,NULL,NULL,NULL,NULL,NULL,"MX_MI_INT",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"58","MI-EPACK","MIP - EPACK",,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,,NULL,NULL,"epack_max",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"59","MI-IPA","MIP - IPA",,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,,NULL,NULL,"ipa",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"60","MI-EPACK","MIP - EPACK",,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,,NULL,NULL,"epack",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"61","UPS-NDA","Next Day Air",,"UPS Next Day",,,,,,,,,,,,,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,
"62","USPS","Priority Cubic 1",,NULL,NULL,NULL,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"63","UPS","USB",,NULL,,,,,,,,,,,,,NULL,,,,,"UPS_SP",NULL,NULL,NULL,
"64","MID-CH","MID",,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,"upsmipsl_bpm",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"65","MID-CH","MID",,NULL,NULL,NULL,NULL,NULL,,,NULL,NULL,NULL,NULL,NULL,NULL,"upsmipsl",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"66","vip","vip",,,,,NULL,NULL,,NULL,NULL,NULL,NULL,,NULL,NULL,"vip",NULL,,NULL,NULL,NULL,NULL,NULL,NULL,
"67","USPS-CH","Priority Cubic 1",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"pr.1",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"68","USPS-CH","Priority Cubic 2",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"pr.2",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"69","USPS-CH","Priority Cubic 3",,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"pr.3",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
"70","UPS-NDA-CH","Next Day Air",,,,,,,,,,,,,,,"ups_express",,,NULL,NULL,NULL,NULL,NULL,NULL,
